product_family,variant_id,variant_id Shopify,color,size,print_type,product_uid
hoodie,4400015a-3697-4583-a8df-b5c4a3f42234,52896963985748,White,S,Embroidery,apparel_product_gca_hoodie_gsc_pullover_gcu_unisex_gqa_classic_gsi_s_gco_white_gpr_chstlg-emb_gildan_18500
hoodie,484aa0d0-3f52-4503-be94-9dfd745d1b36,52896964018516,White,M,Embroidery,apparel_product_gca_hoodie_gsc_pullover_gcu_unisex_gqa_classic_gsi_m_gco_white_gpr_chstlg-emb_gildan_18500
hoodie,5eac0a46-d6ca-4c04-ab7a-6d605aa392fd,52896964051284,White,L,Embroidery,apparel_product_gca_hoodie_gsc_pullover_gcu_unisex_gqa_classic_gsi_l_gco_white_gpr_chstlg-emb_gildan_18500
hoodie,db3bcc11-1a54-419b-ba7d-0b86a35f4d5e,52896964084052,White,XL,Embroidery,apparel_product_gca_hoodie_gsc_pullover_gcu_unisex_gqa_classic_gsi_xl_gco_white_gpr_chstlg-emb_gildan_18500
hoodie,ab292d19-e201-4891-a176-9410e2611030,52896964116820,White,2XL,Embroidery,apparel_product_gca_hoodie_gsc_pullover_gcu_unisex_gqa_classic_gsi_2xl_gco_white_gpr_chstlg-emb_gildan_18500
hoodie,eb26f8f7-c634-4727-950c-d2d1a589555a,52896964149588,White,3XL,Embroidery,apparel_product_gca_hoodie_gsc_pullover_gcu_unisex_gqa_classic_gsi_3xl_gco_white_gpr_chstlg-emb_gildan_18500
hoodie,353a3716-19f5-4f5c-9728-459b3511678d,52896964182356,Ash,S,Embroidery,apparel_product_gca_hoodie_gsc_pullover_gcu_unisex_gqa_classic_gsi_s_gco_ash_gpr_chstlg-emb_gildan_18500
hoodie,c8c9a152-033a-4a56-be70-f79a06a8913e,52896964215124,Ash,M,Embroidery,apparel_product_gca_hoodie_gsc_pullover_gcu_unisex_gqa_classic_gsi_m_gco_ash_gpr_chstlg-emb_gildan_18500
hoodie,da4a7407-eb6e-4d9f-a9cf-1c6741ddfd25,52896964247892,Ash,L,Embroidery,apparel_product_gca_hoodie_gsc_pullover_gcu_unisex_gqa_classic_gsi_l_gco_ash_gpr_chstlg-emb_gildan_18500
hoodie,a4baee04-28d0-43e5-9a2d-33c182d75bce,52896964280660,Ash,XL,Embroidery,apparel_product_gca_hoodie_gsc_pullover_gcu_unisex_gqa_classic_gsi_xl_gco_ash_gpr_chstlg-emb_gildan_18500
hoodie,55bcc343-d92f-4a33-a799-ecd14ab2ddab,52896964313428,Ash,2XL,Embroidery,apparel_product_gca_hoodie_gsc_pullover_gcu_unisex_gqa_classic_gsi_2xl_gco_ash_gpr_chstlg-emb_gildan_18500
hoodie,e72595a4-fbb3-46e3-aa12-df92eef3d58b,52896964346196,Ash,3XL,Embroidery,apparel_product_gca_hoodie_gsc_pullover_gcu_unisex_gqa_classic_gsi_3xl_gco_ash_gpr_chstlg-emb_gildan_18500
hoodie,14622b46-11af-4b5a-a8b8-5864b5f3fa5f,52896964378964,LightPink,S,Embroidery,apparel_product_gca_hoodie_gsc_pullover_gcu_unisex_gqa_classic_gsi_s_gco_light-pink_gpr_chstlg-emb_gildan_18500
hoodie,fb29ef00-498a-423f-91b8-0d2b0abb9fd7,52896964411732,LightPink,M,Embroidery,apparel_product_gca_hoodie_gsc_pullover_gcu_unisex_gqa_classic_gsi_m_gco_light-pink_gpr_chstlg-emb_gildan_18500
hoodie,70c5f86b-5665-450e-b9ad-61d358a13abd,52896964444500,LightPink,L,Embroidery,apparel_product_gca_hoodie_gsc_pullover_gcu_unisex_gqa_classic_gsi_l_gco_light-pink_gpr_chstlg-emb_gildan_18500
hoodie,e526a018-fef1-4e9f-aaec-fcca92a42b19,52896964477268,LightPink,XL,Embroidery,apparel_product_gca_hoodie_gsc_pullover_gcu_unisex_gqa_classic_gsi_xl_gco_light-pink_gpr_chstlg-emb_gildan_18500
hoodie,744e49ef-e889-4a70-b3c9-582eb4f66cda,52896964510036,LightPink,2XL,Embroidery,apparel_product_gca_hoodie_gsc_pullover_gcu_unisex_gqa_classic_gsi_2xl_gco_light-pink_gpr_chstlg-emb_gildan_18500
hoodie,94b95f1d-35ae-43e1-afa8-3e45d8cfddab,52896964542804,LightPink,3XL,Embroidery,apparel_product_gca_hoodie_gsc_pullover_gcu_unisex_gqa_classic_gsi_3xl_gco_light-pink_gpr_chstlg-emb_gildan_18500
hoodie,ec4123f8-a327-4af4-9c22-de26a378921f,52896964575572,Sand,S,Embroidery,apparel_product_gca_hoodie_gsc_pullover_gcu_unisex_gqa_classic_gsi_s_gco_sand_gpr_chstlg-emb_gildan_18500
hoodie,1c631f49-cc84-44c8-983c-b0b881cc20ea,52896964608340,Sand,M,Embroidery,apparel_product_gca_hoodie_gsc_pullover_gcu_unisex_gqa_classic_gsi_m_gco_sand_gpr_chstlg-emb_gildan_18500
hoodie,20c07c7d-5e2c-4cfa-b7f1-0612a9ba4d9a,52896964641108,Sand,L,Embroidery,apparel_product_gca_hoodie_gsc_pullover_gcu_unisex_gqa_classic_gsi_l_gco_sand_gpr_chstlg-emb_gildan_18500
hoodie,f2d90e81-16fb-4d61-bf99-35f466a176d3,52896964673876,Sand,XL,Embroidery,apparel_product_gca_hoodie_gsc_pullover_gcu_unisex_gqa_classic_gsi_xl_gco_sand_gpr_chstlg-emb_gildan_18500
hoodie,aea0e3d0-1fcc-46b0-975d-6813f2960be0,52896964706644,Sand,2XL,Embroidery,apparel_product_gca_hoodie_gsc_pullover_gcu_unisex_gqa_classic_gsi_2xl_gco_sand_gpr_chstlg-emb_gildan_18500
hoodie,ecbb94f1-2b31-4216-aee8-9dbdac04baa9,52896964739412,Sand,3XL,Embroidery,apparel_product_gca_hoodie_gsc_pullover_gcu_unisex_gqa_classic_gsi_3xl_gco_sand_gpr_chstlg-emb_gildan_18500
hoodie,1d6601eb-cbe6-4f5c-b382-1c5b5ab25d8a,52896964772180,Light Blue,S,Embroidery,apparel_product_gca_hoodie_gsc_pullover_gcu_unisex_gqa_classic_gsi_s_gco_light-blue_gpr_chstlg-emb_gildan_18500
